description,industry,level,size,line_code,value
"Markets where business sold raw, unprocessed materials - NZ only",total,0,6–19 employees,C0201.01,2715
"Markets where business sold raw, unprocessed materials - NZ only",total,0,20–49 employees,C0201.01,858
"Markets where business sold raw, unprocessed materials - NZ only",total,0,50–99 employees,C0201.01,240
"Markets where business sold raw, unprocessed materials - NZ only",total,0,100+ employees,C0201.01,234
"Markets where business sold raw, unprocessed materials - NZ only","Agriculture, forestry, & fishing",1,total,C0201.01,1410
"Markets where business sold raw, unprocessed materials - NZ only",Agriculture,2,total,C0201.01,1155
"Markets where business sold raw, unprocessed materials - NZ only",Commercial fishing,2,total,C0201.01,24
"Markets where business sold raw, unprocessed materials - NZ only",Forestry & logging,2,total,C0201.01,78
"Markets where business sold raw, unprocessed materials - NZ only","Agriculture, forestry, & fishing support services",2,total,C0201.01,153
"Markets where business sold raw, unprocessed materials - NZ only",Mining,1,total,C0201.01,57
"Markets where business sold raw, unprocessed materials - NZ only",Manufacturing,1,total,C0201.01,567
"Markets where business sold raw, unprocessed materials - NZ only","Food, beverage, & tobacco",2,total,C0201.01,126
"Markets where business sold raw, unprocessed materials - NZ only","Textile, clothing, footwear, & leather",2,total,C0201.01,24
"Markets where business sold raw, unprocessed materials - NZ only",Wood & paper product,2,total,C0201.01,57
"Markets where business sold raw, unprocessed materials - NZ only","Printing, publishing, & recorded media",2,total,C0201.01,15
"Markets where business sold raw, unprocessed materials - NZ only","Petroleum, coal, chemical, & associated product",2,total,C0201.01,54
"Markets where business sold raw, unprocessed materials - NZ only",Non-metallic mineral product,2,total,C0201.01,33
"Markets where business sold raw, unprocessed materials - NZ only",Metal product,2,total,C0201.01,96
"Markets where business sold raw, unprocessed materials - NZ only",Transport and industrial machinery & equipment,2,total,C0201.01,93
"Markets where business sold raw, unprocessed materials - NZ only",Other machinery & equipment,2,total,C0201.01,18
"Markets where business sold raw, unprocessed materials - NZ only",Other manufacturing,2,total,C0201.01,48
"Markets where business sold raw, unprocessed materials - NZ only","Electricity, gas, water, & waste services",1,total,C0201.01,18
"Markets where business sold raw, unprocessed materials - NZ only",Construction,1,total,C0201.01,222
"Markets where business sold raw, unprocessed materials - NZ only",Wholesale trade,1,total,C0201.01,315
"Markets where business sold raw, unprocessed materials - NZ only",Machinery & equipment wholesaling,2,total,C0201.01,48
"Markets where business sold raw, unprocessed materials - NZ only",Other wholesale trade,2,total,C0201.01,264
"Markets where business sold raw, unprocessed materials - NZ only",Retail trade,1,total,C0201.01,684
"Markets where business sold raw, unprocessed materials - NZ only",Accommodation & food services,1,total,C0201.01,345
"Markets where business sold raw, unprocessed materials - NZ only","Transport, postal, & warehousing",1,total,C0201.01,117
"Markets where business sold raw, unprocessed materials - NZ only",Information media & telecommunications,1,total,C0201.01,6
"Markets where business sold raw, unprocessed materials - NZ only",Publishing,2,total,C0201.01,3
"Markets where business sold raw, unprocessed materials - NZ only",Motion picture,2,total,C0201.01,0
"Markets where business sold raw, unprocessed materials - NZ only",Telecommunications,2,total,C0201.01,0
"Markets where business sold raw, unprocessed materials - NZ only",Financial & insurance services,1,total,C0201.01,0
"Markets where business sold raw, unprocessed materials - NZ only",Finance,2,total,C0201.01,3
"Markets where business sold raw, unprocessed materials - NZ only",Insurance,2,total,C0201.01,0
"Markets where business sold raw, unprocessed materials - NZ only",Auxiliary,2,total,C0201.01,0
"Markets where business sold raw, unprocessed materials - NZ only","Rental, hiring, & real estate services",1,total,C0201.01,48
