mpg,engine,horse,weight,accel,year,origin,cylinder,filter_.,mpg1
10.0,360.0,215.0,4615,14.0,70,1.0,8.0,0.0,10.87
10.0,307.0,200.0,4376,15.0,70,1.0,8.0,0.0,9.63
11.0,318.0,210.0,4382,13.5,70,1.0,8.0,0.0,12.12
11.0,429.0,208.0,4633,11.0,72,1.0,8.0,0.0,10.63
11.0,400.0,150.0,4997,14.0,73,1.0,8.0,0.0,10.79
11.0,350.0,180.0,3664,11.0,73,1.0,8.0,0.0,12.22
12.0,383.0,180.0,4955,11.5,71,1.0,8.0,0.0,12.11
12.0,350.0,160.0,4456,13.5,72,1.0,8.0,0.0,12.66
12.0,429.0,198.0,4952,11.5,73,1.0,8.0,0.0,11.68
12.0,455.0,225.0,4951,11.0,73,1.0,8.0,0.0,12.28
12.0,400.0,167.0,4906,12.5,73,1.0,8.0,0.0,11.49
12.0,350.0,180.0,4499,12.5,73,1.0,8.0,0.0,10.87
13.0,400.0,170.0,4746,12.0,71,1.0,8.0,0.0,14.88
13.0,400.0,175.0,5140,12.0,71,1.0,8.0,0.0,10.96
13.0,350.0,165.0,4274,12.0,72,1.0,8.0,0.0,14.06
13.0,350.0,155.0,4502,13.5,72,1.0,8.0,0.0,11.98
13.0,400.0,190.0,4422,12.5,72,1.0,8.0,0.0,11.31
13.0,307.0,130.0,4098,14.0,72,1.0,8.0,0.0,12.96
13.0,302.0,140.0,4294,16.0,72,1.0,8.0,0.0,13.72
13.0,350.0,175.0,4100,13.0,73,1.0,8.0,0.0,12.49
13.0,350.0,145.0,3988,13.0,73,1.0,8.0,0.0,13.97
13.0,400.0,150.0,4464,12.0,73,1.0,8.0,0.0,12.99
13.0,351.0,158.0,4363,13.0,73,1.0,8.0,0.0,12.6
13.0,440.0,215.0,4735,11.0,73,1.0,8.0,0.0,13.5
13.0,360.0,175.0,3821,11.0,73,1.0,8.0,0.0,11.7
13.0,360.0,170.0,4654,13.0,73,1.0,8.0,0.0,13.53
13.0,350.0,150.0,4699,14.5,74,1.0,8.0,0.0,14.43
13.0,302.0,129.0,3169,12.0,75,1.0,8.0,0.0,14.09
13.0,318.0,150.0,3940,13.2,76,1.0,8.0,0.0,13.44
13.0,350.0,145.0,4055,12.0,76,1.0,8.0,0.0,14.15
13.0,302.0,130.0,3870,15.0,76,1.0,8.0,0.0,13.71
13.0,318.0,150.0,3755,14.0,76,1.0,8.0,0.0,13.11
14.0,454.0,220.0,4354,9.0,70,1.0,8.0,0.0,13.36
14.0,440.0,215.0,4312,8.5,70,1.0,8.0,0.0,12.59
14.0,455.0,225.0,4425,10.0,70,1.0,8.0,0.0,12.41
14.0,340.0,160.0,3609,8.0,70,1.0,8.0,0.0,15.63
14.0,455.0,225.0,3086,10.0,70,1.0,8.0,0.0,13.74
14.0,350.0,165.0,4209,12.0,71,1.0,8.0,0.0,14.01
14.0,400.0,175.0,4464,11.5,71,1.0,8.0,0.0,14.23
14.0,351.0,153.0,4154,13.5,71,1.0,8.0,0.0,14.7
14.0,318.0,150.0,4096,13.0,71,1.0,8.0,0.0,11.53
14.0,400.0,175.0,4385,12.0,72,1.0,8.0,0.0,12.31
14.0,351.0,153.0,4129,13.0,72,1.0,8.0,0.0,15.11
14.0,318.0,150.0,4077,14.0,72,1.0,8.0,0.0,12.16
14.0,304.0,150.0,3672,11.5,73,1.0,8.0,0.0,14.54
14.0,302.0,137.0,4042,14.5,73,1.0,8.0,0.0,12.68
14.0,318.0,150.0,4237,14.5,73,1.0,8.0,0.0,15.16
14.0,318.0,150.0,4457,13.5,74,1.0,8.0,0.0,14.46
14.0,302.0,140.0,4638,16.0,74,1.0,8.0,0.0,12.97
14.0,304.0,150.0,4257,15.5,74,1.0,8.0,0.0,13.32
14.0,351.0,148.0,4657,13.5,75,1.0,8.0,0.0,14.63
14.5,351.0,152.0,4215,12.8,76,1.0,8.0,0.0,13.87
15.0,350.0,165.0,3693,11.5,70,1.0,8.0,0.0,14.68
15.0,429.0,198.0,4341,10.0,70,1.0,8.0,0.0,16.62
15.0,390.0,190.0,3850,8.5,70,1.0,8.0,0.0,11.88
15.0,383.0,170.0,3563,10.0,70,1.0,8.0,0.0,14.27
15.0,400.0,150.0,3761,9.5,70,1.0,8.0,0.0,13.88
15.0,318.0,150.0,4135,13.5,72,1.0,8.0,0.0,14.99
15.0,304.0,150.0,3892,12.5,72,1.0,8.0,0.0,17.15
15.0,318.0,150.0,3777,12.5,73,1.0,8.0,0.0,16.51
15.0,350.0,145.0,4082,13.0,73,1.0,8.0,0.0,14.27
15.0,318.0,150.0,3399,11.0,73,1.0,8.0,0.0,12.61
15.0,250.0,100.0,3336,17.0,74,1.0,6.0,1.0,16.44
15.0,250.0,72.0,3432,21.0,75,1.0,6.0,1.0,15.79
15.0,250.0,72.0,3158,19.5,75,1.0,6.0,1.0,15.54
15.0,350.0,145.0,4440,14.0,75,1.0,8.0,0.0,14.54
15.0,258.0,110.0,3730,19.0,75,1.0,6.0,1.0,14.42
15.0,302.0,130.0,4295,14.9,77,1.0,8.0,0.0,14.95
15.5,304.0,120.0,3962,13.9,76,1.0,8.0,0.0,14.25
15.5,318.0,145.0,4140,13.7,77,1.0,8.0,0.0,15.48
15.5,350.0,170.0,4165,11.4,77,1.0,8.0,0.0,15.2
15.5,400.0,190.0,4325,12.2,77,1.0,8.0,0.0,14.88
15.5,351.0,142.0,4054,14.3,79,1.0,8.0,0.0,14.32
16.0,304.0,150.0,3433,12.0,70,1.0,8.0,0.0,16.21
16.0,225.0,105.0,3439,15.5,71,1.0,6.0,1.0,15.12
16.0,250.0,100.0,3278,18.0,73,1.0,6.0,1.0,18.03
16.0,400.0,230.0,4278,9.5,73,1.0,8.0,0.0,14.95
16.0,250.0,100.0,3781,17.0,74,1.0,6.0,1.0,17.48
16.0,258.0,110.0,3632,18.0,74,1.0,6.0,1.0,15.76
16.0,302.0,140.0,4141,14.0,74,1.0,8.0,0.0,16.37
16.0,400.0,170.0,4668,11.5,75,1.0,8.0,0.0,16.77
16.0,318.0,150.0,4498,14.5,75,1.0,8.0,0.0,15.59
16.0,250.0,105.0,3897,18.5,75,1.0,6.0,1.0,16.75
16.0,318.0,150.0,4190,13.0,76,1.0,8.0,0.0,14.4
16.0,400.0,180.0,4220,11.1,77,1.0,8.0,0.0,15.93
16.0,351.0,149.0,4335,14.5,77,1.0,8.0,0.0,15.82
16.2,163.0,133.0,3410,15.8,78,2.0,6.0,1.0,15.94
16.5,168.0,120.0,3820,16.7,76,2.0,6.0,1.0,18.14
16.5,350.0,180.0,4380,12.1,76,1.0,8.0,0.0,17.76
16.5,351.0,138.0,3955,13.2,79,1.0,8.0,0.0,17.84
16.9,350.0,155.0,4360,14.9,79,1.0,8.0,0.0,16.94
17.0,302.0,140.0,3449,10.5,70,1.0,8.0,0.0,15.45
17.0,250.0,100.0,3329,15.5,71,1.0,6.0,1.0,17.58
17.0,304.0,150.0,3672,11.5,72,1.0,8.0,0.0,15.48
17.0,231.0,110.0,3907,21.0,75,1.0,6.0,1.0,14.93
17.0,260.0,110.0,4060,19.0,77,1.0,8.0,0.0,16.51
17.0,163.0,125.0,3140,13.6,78,2.0,6.0,1.0,17.21
17.0,305.0,130.0,3840,15.4,79,1.0,8.0,0.0,16.14
17.5,305.0,140.0,4215,13.0,76,1.0,8.0,0.0,17.22
17.5,258.0,95.0,3193,17.8,76,1.0,6.0,1.0,16.52
17.5,305.0,145.0,3880,12.5,77,1.0,8.0,0.0,18.42
17.5,250.0,110.0,3520,16.4,77,1.0,6.0,1.0,17.93
17.5,318.0,140.0,4080,13.7,78,1.0,8.0,0.0,18.55
17.6,302.0,129.0,3725,13.4,79,1.0,8.0,0.0,17.08
17.6,225.0,85.0,3465,16.6,81,1.0,6.0,1.0,17.93
17.7,231.0,165.0,3445,13.4,78,1.0,6.0,1.0,15.37
18.0,307.0,130.0,3504,12.0,70,1.0,8.0,0.0,17.18
18.0,318.0,150.0,3436,11.0,70,1.0,8.0,0.0,17.79
18.0,199.0,97.0,2774,15.5,70,1.0,6.0,1.0,17.37
18.0,232.0,100.0,3288,15.5,71,1.0,6.0,1.0,18.35
18.0,258.0,110.0,2962,13.5,71,1.0,6.0,1.0,18.27
18.0,250.0,88.0,3139,14.5,71,1.0,6.0,1.0,18.79
18.0,121.0,112.0,2933,14.5,72,2.0,4.0,1.0,17.66
18.0,225.0,105.0,3121,16.5,73,1.0,6.0,1.0,19.77
18.0,232.0,100.0,2945,16.0,73,1.0,6.0,1.0,17.82
18.0,250.0,88.0,3021,16.5,73,1.0,6.0,1.0,18.69
18.0,232.0,100.0,2789,15.0,73,1.0,6.0,1.0,14.79
18.0,225.0,105.0,3613,16.5,74,1.0,6.0,1.0,15.61
18.0,250.0,105.0,3459,16.0,75,1.0,6.0,1.0,16.59
18.0,225.0,95.0,3785,19.0,75,1.0,6.0,1.0,16.97
18.0,171.0,97.0,2984,14.5,75,1.0,6.0,1.0,18.37
18.0,250.0,78.0,3574,21.0,76,1.0,6.0,1.0,16.6
18.1,258.0,120.0,3410,15.1,78,1.0,6.0,1.0,19.49
18.1,302.0,139.0,3205,11.2,78,1.0,8.0,0.0,18.52
18.2,318.0,135.0,3830,15.2,79,1.0,8.0,0.0,17.51
18.5,250.0,110.0,3645,16.2,76,1.0,6.0,1.0,18.48
18.5,250.0,98.0,3525,19.0,77,1.0,6.0,1.0,17.22
18.5,360.0,150.0,3940,13.0,79,1.0,8.0,0.0,18.57
18.6,225.0,110.0,3620,18.7,78,1.0,6.0,1.0,18.38
19.0,232.0,100.0,2634,13.0,71,1.0,6.0,1.0,17.61
19.0,250.0,88.0,3302,15.5,71,1.0,6.0,1.0,19.09
19.0,250.0,100.0,3282,15.0,71,1.0,6.0,1.0,20.61
19.0,122.0,85.0,2310,18.5,73,1.0,4.0,1.0,18.02
19.0,121.0,112.0,2868,15.5,73,2.0,4.0,1.0,17.0
19.0,232.0,100.0,2901,16.0,74,1.0,6.0,1.0,19.44
19.0,225.0,95.0,3264,16.0,75,1.0,6.0,1.0,17.78
19.0,232.0,90.0,3211,17.0,75,1.0,6.0,1.0,20.11
19.0,120.0,88.0,3270,21.9,76,2.0,4.0,1.0,18.75
19.0,156.0,108.0,2930,15.5,76,3.0,6.0,1.0,18.57
19.0,225.0,100.0,3630,17.7,77,1.0,6.0,1.0,18.47
19.1,225.0,90.0,3381,18.7,80,1.0,6.0,1.0,17.47
19.2,231.0,105.0,3535,19.2,78,1.0,6.0,1.0,19.17
19.2,305.0,145.0,3425,13.2,78,1.0,8.0,0.0,20.02
19.2,267.0,125.0,3605,15.0,79,1.0,8.0,0.0,18.76
19.4,318.0,140.0,3735,13.2,78,1.0,8.0,0.0,18.99
19.4,232.0,90.0,3210,17.2,78,1.0,6.0,1.0,17.88
19.8,200.0,85.0,2990,18.2,79,1.0,6.0,1.0,20.37
19.9,260.0,110.0,3365,15.5,78,1.0,8.0,0.0,20.43
20.0,140.0,90.0,2408,19.5,72,1.0,4.0,1.0,21.43
20.0,97.0,88.0,2279,19.0,73,3.0,4.0,1.0,22.86
20.0,114.0,91.0,2582,14.0,73,2.0,4.0,1.0,20.7
20.0,156.0,122.0,2807,13.5,73,3.0,6.0,1.0,19.29
20.0,198.0,95.0,3102,16.5,74,1.0,6.0,1.0,19.99
20.0,262.0,110.0,3221,13.5,75,1.0,8.0,0.0,19.36
20.0,232.0,100.0,2914,16.0,75,1.0,6.0,1.0,18.93
20.0,225.0,100.0,3651,17.7,76,1.0,6.0,1.0,20.09
20.0,130.0,102.0,3150,15.7,76,2.0,4.0,1.0,19.5
20.2,302.0,139.0,3570,12.8,78,1.0,8.0,0.0,20.09
20.2,200.0,85.0,2965,15.8,78,1.0,6.0,1.0,21.53
20.2,232.0,90.0,3265,18.2,79,1.0,6.0,1.0,19.13
20.2,200.0,88.0,3060,17.1,81,1.0,6.0,1.0,19.2
20.5,231.0,105.0,3425,16.9,77,1.0,6.0,1.0,22.61
20.5,200.0,95.0,3155,18.2,78,1.0,6.0,1.0,21.26
20.5,225.0,100.0,3430,17.2,78,1.0,6.0,1.0,19.37
20.6,231.0,105.0,3380,15.8,78,1.0,6.0,1.0,19.01
20.6,225.0,110.0,3360,16.6,79,1.0,6.0,1.0,19.98
20.8,200.0,85.0,3070,16.7,78,1.0,6.0,1.0,20.07
21.0,200.0,85.0,2587,16.0,70,1.0,6.0,1.0,20.69
21.0,199.0,90.0,2648,15.0,70,1.0,6.0,1.0,22.71
21.0,122.0,86.0,2226,16.5,72,1.0,4.0,1.0,20.99
21.0,120.0,87.0,2979,19.5,72,2.0,4.0,1.0,20.41
21.0,140.0,72.0,2401,19.5,73,1.0,4.0,1.0,20.04
21.0,155.0,107.0,2472,14.0,73,1.0,6.0,1.0,21.04
21.0,231.0,110.0,3039,15.0,75,1.0,6.0,1.0,21.99
21.1,134.0,95.0,2515,14.8,78,3.0,4.0,1.0,20.94
21.5,121.0,110.0,2600,12.8,77,2.0,4.0,1.0,20.88
21.5,231.0,115.0,3245,15.4,79,1.0,6.0,1.0,21.2
21.6,121.0,115.0,2795,15.7,78,2.0,4.0,1.0,22.54
22.0,198.0,95.0,2833,15.5,70,1.0,6.0,1.0,22.29
22.0,140.0,72.0,2408,19.0,71,1.0,4.0,1.0,21.25
22.0,121.0,76.0,2511,18.0,72,2.0,4.0,1.0,20.9
22.0,122.0,86.0,2395,16.0,72,1.0,4.0,1.0,22.1
22.0,108.0,94.0,2379,16.5,73,3.0,4.0,1.0,21.89
22.0,121.0,98.0,2945,14.5,75,2.0,4.0,1.0,21.19
22.0,225.0,100.0,3233,15.4,76,1.0,6.0,1.0,22.26
22.0,250.0,105.0,3353,14.5,76,1.0,6.0,1.0,21.86
22.0,146.0,97.0,2815,14.5,77,3.0,6.0,1.0,20.57
22.0,232.0,112.0,2835,14.7,82,1.0,6.0,1.0,22.16
22.3,140.0,88.0,2890,17.3,79,1.0,4.0,1.0,22.21
22.4,231.0,110.0,3415,15.8,81,1.0,6.0,1.0,23.51
22.5,232.0,90.0,3085,17.6,76,1.0,6.0,1.0,22.42
23.0,122.0,86.0,2220,14.0,71,1.0,4.0,1.0,22.01
23.0,97.0,54.0,2254,23.5,72,2.0,4.0,1.0,22.27
23.0,120.0,97.0,2506,14.5,72,3.0,4.0,1.0,23.46
23.0,198.0,95.0,2904,16.0,73,1.0,6.0,1.0,22.14
23.0,140.0,83.0,2639,17.0,75,1.0,4.0,1.0,21.88
23.0,140.0,78.0,2592,18.5,75,1.0,4.0,1.0,22.65
23.0,115.0,95.0,2694,15.0,75,2.0,4.0,1.0,24.23
23.0,120.0,88.0,2957,17.0,75,2.0,4.0,1.0,23.62
23.0,350.0,125.0,3900,17.4,79,1.0,8.0,0.0,22.33
23.2,156.0,105.0,2745,16.7,78,1.0,4.0,1.0,23.82
23.5,173.0,110.0,2725,12.6,81,1.0,6.0,1.0,24.95
23.8,151.0,85.0,2855,17.6,78,1.0,4.0,1.0,23.29
23.9,119.0,97.0,2405,14.9,78,3.0,4.0,1.0,25.14
23.9,260.0,90.0,3420,22.2,79,1.0,8.0,0.0,24.1
24.0,113.0,95.0,2372,15.0,70,3.0,4.0,1.0,23.93
24.0,107.0,90.0,2430,14.5,70,2.0,4.0,1.0,22.85
24.0,113.0,95.0,2278,15.5,72,3.0,4.0,1.0,23.72
24.0,116.0,75.0,2158,15.5,73,2.0,4.0,1.0,25.55
24.0,121.0,110.0,2660,14.0,73,2.0,4.0,1.0,23.02
24.0,90.0,75.0,2108,15.5,74,2.0,4.0,1.0,25.31
24.0,120.0,97.0,2489,15.0,74,3.0,4.0,1.0,24.36
24.0,134.0,96.0,2702,13.5,75,3.0,4.0,1.0,24.32
24.0,119.0,97.0,2545,17.0,75,3.0,4.0,1.0,22.94
24.0,200.0,81.0,3012,17.6,76,1.0,6.0,1.0,24.05
24.0,140.0,92.0,2865,16.4,82,1.0,4.0,1.0,24.19
24.2,146.0,120.0,2930,13.8,81,3.0,6.0,1.0,23.03
24.3,151.0,90.0,3003,20.1,80,1.0,4.0,1.0,26.12
24.5,98.0,60.0,2164,22.1,76,1.0,4.0,1.0,25.67
24.5,151.0,88.0,2740,16.0,77,1.0,4.0,1.0,24.62
25.0,110.0,87.0,2672,17.5,70,2.0,4.0,1.0,24.96
25.0,104.0,95.0,2375,17.5,70,2.0,4.0,1.0,24.42
25.0,113.0,95.0,2228,14.0,71,3.0,4.0,1.0,25.77
25.0,97.5,80.0,2126,17.0,72,1.0,4.0,1.0,25.86
25.0,140.0,75.0,2542,17.0,74,1.0,4.0,1.0,24.93
25.0,90.0,71.0,2223,16.5,75,2.0,4.0,1.0,24.22
25.0,121.0,115.0,2671,13.5,75,2.0,4.0,1.0,23.99
25.0,116.0,81.0,2220,16.9,76,2.0,4.0,1.0,26.89
25.0,140.0,92.0,2572,14.9,76,1.0,4.0,1.0,23.46
25.0,181.0,110.0,2945,16.4,82,1.0,6.0,1.0,26.26
25.1,140.0,88.0,2720,15.4,78,1.0,4.0,1.0,24.72
25.4,168.0,116.0,2900,12.6,81,3.0,6.0,1.0,26.57
25.5,122.0,96.0,2300,15.5,77,1.0,4.0,1.0,24.18
25.5,140.0,89.0,2755,15.8,77,1.0,4.0,1.0,26.88
25.8,156.0,92.0,2620,14.4,81,1.0,4.0,1.0,25.28
26.0,97.0,46.0,1835,20.5,70,2.0,4.0,1.0,25.6
26.0,121.0,113.0,2234,12.5,70,2.0,4.0,1.0,24.72
26.0,91.0,70.0,1955,20.5,71,1.0,4.0,1.0,24.95
26.0,96.0,69.0,2189,18.0,72,2.0,4.0,1.0,26.28
26.0,97.0,46.0,1950,21.0,73,2.0,4.0,1.0,26.69
26.0,98.0,90.0,2265,15.5,73,2.0,4.0,1.0,26.94
26.0,122.0,80.0,2451,16.5,74,1.0,4.0,1.0,24.6
26.0,79.0,67.0,1963,15.5,74,2.0,4.0,1.0,26.13
26.0,97.0,78.0,2300,14.5,74,2.0,4.0,1.0,26.22
26.0,116.0,75.0,2246,14.0,74,2.0,4.0,1.0,28.28
26.0,108.0,93.0,2391,15.5,74,3.0,4.0,1.0,27.18
26.0,98.0,79.0,2255,17.7,76,1.0,4.0,1.0,26.07
26.0,97.0,75.0,2265,18.2,77,3.0,4.0,1.0,26.01
26.0,156.0,92.0,2585,14.5,82,1.0,4.0,1.0,26.63
26.4,140.0,88.0,2870,18.1,80,1.0,4.0,1.0,24.74
26.5,140.0,72.0,2565,13.6,76,1.0,4.0,1.0,26.28
26.6,151.0,84.0,2635,16.4,81,1.0,4.0,1.0,25.41
26.6,350.0,105.0,3725,19.0,81,1.0,8.0,0.0,27.3
26.8,173.0,115.0,2700,12.9,79,1.0,6.0,1.0,27.86
27.0,97.0,88.0,2130,14.5,70,3.0,4.0,1.0,27.54
27.0,97.0,88.0,2130,14.5,71,3.0,4.0,1.0,25.95
27.0,97.0,60.0,1834,19.0,71,2.0,4.0,1.0,28.12
27.0,97.0,88.0,2100,16.5,72,3.0,4.0,1.0,27.01
27.0,101.0,83.0,2202,15.3,76,2.0,4.0,1.0,26.17
27.0,112.0,88.0,2640,18.6,82,1.0,4.0,1.0,27.49
27.0,151.0,90.0,2735,18.0,82,1.0,4.0,1.0,26.04
27.0,151.0,90.0,2950,17.3,82,1.0,4.0,1.0,27.52
27.0,140.0,86.0,2790,15.6,82,1.0,4.0,1.0,28.35
27.2,119.0,97.0,2300,14.7,78,3.0,4.0,1.0,28.28
27.2,141.0,71.0,3190,24.8,79,2.0,4.0,1.0,28.85
27.2,135.0,84.0,2490,15.7,81,1.0,4.0,1.0,26.56
27.4,121.0,80.0,2670,15.0,79,1.0,4.0,1.0,27.84
27.5,134.0,95.0,2560,14.2,78,3.0,4.0,1.0,27.35
27.9,156.0,105.0,2800,14.4,80,1.0,4.0,1.0,28.49
28.0,140.0,90.0,2264,15.5,71,1.0,4.0,1.0,28.53
28.0,116.0,90.0,2123,14.0,71,2.0,4.0,1.0,25.65
