Region,Period,Value,Status,Units,Magnitude,Series_title_1,Age_group
Auckland Region,2019.05,33186,P,Number ,0,Actual ,15 - 19
Auckland Region,2019.06,32410,P,Number ,0,Actual ,15 - 19
Auckland Region,2019.07,32517,P,Number ,0,Actual ,15 - 19
Auckland Region,2019.08,32185,P,Number ,0,Actual ,15 - 19
Auckland Region,2019.09,32404,P,Number ,0,Actual ,15 - 19
Auckland Region,2019.1,33495,P,Number ,0,Actual ,15 - 19
Auckland Region,2019.11,36229,P,Number ,0,Actual ,15 - 19
Auckland Region,2019.12,40418,P,Number ,0,Actual ,15 - 19
Auckland Region,2020.01,35671,P,Number ,0,Actual ,15 - 19
Auckland Region,2020.02,35626,P,Number ,0,Actual ,15 - 19
Auckland Region,2020.03,33394,P,Number ,0,Actual ,15 - 19
Auckland Region,2020.04,31326,P,Number ,0,Actual ,15 - 19
Auckland Region,2020.05,31479,P,Number ,0,Actual ,15 - 19
Auckland Region,2020.06,30770,P,Number ,0,Actual ,15 - 19
Auckland Region,2020.07,29873,P,Number ,0,Actual ,15 - 19
Auckland Region,2019.05,80579,P,Number ,0,Actual ,20 - 24
Auckland Region,2019.06,79672,P,Number ,0,Actual ,20 - 24
Auckland Region,2019.07,79853,P,Number ,0,Actual ,20 - 24
Auckland Region,2019.08,79771,P,Number ,0,Actual ,20 - 24
Auckland Region,2019.09,80029,P,Number ,0,Actual ,20 - 24
Auckland Region,2019.1,80418,P,Number ,0,Actual ,20 - 24
Auckland Region,2019.11,82742,P,Number ,0,Actual ,20 - 24
Auckland Region,2019.12,83732,P,Number ,0,Actual ,20 - 24
Auckland Region,2020.01,78942,P,Number ,0,Actual ,20 - 24
Auckland Region,2020.02,80875,P,Number ,0,Actual ,20 - 24
Auckland Region,2020.03,80326,P,Number ,0,Actual ,20 - 24
Auckland Region,2020.04,77428,P,Number ,0,Actual ,20 - 24
Auckland Region,2020.05,77759,P,Number ,0,Actual ,20 - 24
Auckland Region,2020.06,77370,P,Number ,0,Actual ,20 - 24
Auckland Region,2020.07,76692,P,Number ,0,Actual ,20 - 24
Auckland Region,2019.05,103533,P,Number ,0,Actual ,25 - 29
Auckland Region,2019.06,103228,P,Number ,0,Actual ,25 - 29
Auckland Region,2019.07,103879,P,Number ,0,Actual ,25 - 29
Auckland Region,2019.08,103846,P,Number ,0,Actual ,25 - 29
Auckland Region,2019.09,104110,P,Number ,0,Actual ,25 - 29
Auckland Region,2019.1,104801,P,Number ,0,Actual ,25 - 29
Auckland Region,2019.11,106065,P,Number ,0,Actual ,25 - 29
Auckland Region,2019.12,105617,P,Number ,0,Actual ,25 - 29
Auckland Region,2020.01,102859,P,Number ,0,Actual ,25 - 29
Auckland Region,2020.02,103437,P,Number ,0,Actual ,25 - 29
Auckland Region,2020.03,104984,P,Number ,0,Actual ,25 - 29
Auckland Region,2020.04,103439,P,Number ,0,Actual ,25 - 29
Auckland Region,2020.05,103501,P,Number ,0,Actual ,25 - 29
Auckland Region,2020.06,103365,P,Number ,0,Actual ,25 - 29
Auckland Region,2020.07,102900,P,Number ,0,Actual ,25 - 29
Auckland Region,2019.05,92286,P,Number ,0,Actual ,30 - 34
Auckland Region,2019.06,92754,P,Number ,0,Actual ,30 - 34
Auckland Region,2019.07,93796,P,Number ,0,Actual ,30 - 34
Auckland Region,2019.08,94300,P,Number ,0,Actual ,30 - 34
Auckland Region,2019.09,94869,P,Number ,0,Actual ,30 - 34
Auckland Region,2019.1,95496,P,Number ,0,Actual ,30 - 34
Auckland Region,2019.11,96892,P,Number ,0,Actual ,30 - 34
Auckland Region,2019.12,96787,P,Number ,0,Actual ,30 - 34
Auckland Region,2020.01,95508,P,Number ,0,Actual ,30 - 34
Auckland Region,2020.02,96071,P,Number ,0,Actual ,30 - 34
Auckland Region,2020.03,97818,P,Number ,0,Actual ,30 - 34
Auckland Region,2020.04,97544,P,Number ,0,Actual ,30 - 34
Auckland Region,2020.05,98235,P,Number ,0,Actual ,30 - 34
Auckland Region,2020.06,98744,P,Number ,0,Actual ,30 - 34
Auckland Region,2020.07,98966,P,Number ,0,Actual ,30 - 34
Auckland Region,2019.05,80374,P,Number ,0,Actual ,35 - 39
Auckland Region,2019.06,81055,P,Number ,0,Actual ,35 - 39
Auckland Region,2019.07,82193,P,Number ,0,Actual ,35 - 39
Auckland Region,2019.08,82714,P,Number ,0,Actual ,35 - 39
Auckland Region,2019.09,83328,P,Number ,0,Actual ,35 - 39
Auckland Region,2019.1,83751,P,Number ,0,Actual ,35 - 39
Auckland Region,2019.11,84819,P,Number ,0,Actual ,35 - 39
Auckland Region,2019.12,84695,P,Number ,0,Actual ,35 - 39
Auckland Region,2020.01,83528,P,Number ,0,Actual ,35 - 39
Auckland Region,2020.02,84345,P,Number ,0,Actual ,35 - 39
Auckland Region,2020.03,85973,P,Number ,0,Actual ,35 - 39
Auckland Region,2020.04,85963,P,Number ,0,Actual ,35 - 39
Auckland Region,2020.05,86452,P,Number ,0,Actual ,35 - 39
Auckland Region,2020.06,86992,P,Number ,0,Actual ,35 - 39
Auckland Region,2020.07,86943,P,Number ,0,Actual ,35 - 39
Auckland Region,2019.05,70951,P,Number ,0,Actual ,40 - 44
Auckland Region,2019.06,71669,P,Number ,0,Actual ,40 - 44
Auckland Region,2019.07,72442,P,Number ,0,Actual ,40 - 44
Auckland Region,2019.08,72673,P,Number ,0,Actual ,40 - 44
Auckland Region,2019.09,73109,P,Number ,0,Actual ,40 - 44
Auckland Region,2019.1,73399,P,Number ,0,Actual ,40 - 44
Auckland Region,2019.11,74276,P,Number ,0,Actual ,40 - 44
Auckland Region,2019.12,74046,P,Number ,0,Actual ,40 - 44
Auckland Region,2020.01,72812,P,Number ,0,Actual ,40 - 44
Auckland Region,2020.02,73575,P,Number ,0,Actual ,40 - 44
Auckland Region,2020.03,74521,P,Number ,0,Actual ,40 - 44
Auckland Region,2020.04,74557,P,Number ,0,Actual ,40 - 44
Auckland Region,2020.05,75103,P,Number ,0,Actual ,40 - 44
Auckland Region,2020.06,75566,P,Number ,0,Actual ,40 - 44
Auckland Region,2020.07,75789,P,Number ,0,Actual ,40 - 44
Auckland Region,2019.05,72945,P,Number ,0,Actual ,45 - 49
Auckland Region,2019.06,73262,P,Number ,0,Actual ,45 - 49
Auckland Region,2019.07,73901,P,Number ,0,Actual ,45 - 49
Auckland Region,2019.08,74147,P,Number ,0,Actual ,45 - 49
Auckland Region,2019.09,74326,P,Number ,0,Actual ,45 - 49
Auckland Region,2019.1,74414,P,Number ,0,Actual ,45 - 49
Auckland Region,2019.11,75009,P,Number ,0,Actual ,45 - 49
Auckland Region,2019.12,74654,P,Number ,0,Actual ,45 - 49
Auckland Region,2020.01,73452,P,Number ,0,Actual ,45 - 49
Auckland Region,2020.02,74082,P,Number ,0,Actual ,45 - 49
Auckland Region,2020.03,74681,P,Number ,0,Actual ,45 - 49
Auckland Region,2020.04,74618,P,Number ,0,Actual ,45 - 49
Auckland Region,2020.05,74874,P,Number ,0,Actual ,45 - 49
Auckland Region,2020.06,75089,P,Number ,0,Actual ,45 - 49
Auckland Region,2020.07,75025,P,Number ,0,Actual ,45 - 49
Auckland Region,2019.05,65367,P,Number ,0,Actual ,50 - 54
Auckland Region,2019.06,65716,P,Number ,0,Actual ,50 - 54
Auckland Region,2019.07,66437,P,Number ,0,Actual ,50 - 54
Auckland Region,2019.08,66752,P,Number ,0,Actual ,50 - 54
Auckland Region,2019.09,66930,P,Number ,0,Actual ,50 - 54
Auckland Region,2019.1,67056,P,Number ,0,Actual ,50 - 54
Auckland Region,2019.11,67606,P,Number ,0,Actual ,50 - 54
Auckland Region,2019.12,67665,P,Number ,0,Actual ,50 - 54
Auckland Region,2020.01,66661,P,Number ,0,Actual ,50 - 54
Auckland Region,2020.02,67160,P,Number ,0,Actual ,50 - 54
Auckland Region,2020.03,67807,P,Number ,0,Actual ,50 - 54
Auckland Region,2020.04,67585,P,Number ,0,Actual ,50 - 54
Auckland Region,2020.05,67877,P,Number ,0,Actual ,50 - 54
Auckland Region,2020.06,68066,P,Number ,0,Actual ,50 - 54
Auckland Region,2020.07,68116,P,Number ,0,Actual ,50 - 54
Auckland Region,2019.05,55858,P,Number ,0,Actual ,55 - 59
Auckland Region,2019.06,56371,P,Number ,0,Actual ,55 - 59
Auckland Region,2019.07,56964,P,Number ,0,Actual ,55 - 59
Auckland Region,2019.08,57095,P,Number ,0,Actual ,55 - 59
Auckland Region,2019.09,57308,P,Number ,0,Actual ,55 - 59
Auckland Region,2019.1,57508,P,Number ,0,Actual ,55 - 59
Auckland Region,2019.11,57981,P,Number ,0,Actual ,55 - 59
Auckland Region,2019.12,58018,P,Number ,0,Actual ,55 - 59
Auckland Region,2020.01,57367,P,Number ,0,Actual ,55 - 59
Auckland Region,2020.02,57518,P,Number ,0,Actual ,55 - 59
Auckland Region,2020.03,58206,P,Number ,0,Actual ,55 - 59
Auckland Region,2020.04,58088,P,Number ,0,Actual ,55 - 59
Auckland Region,2020.05,58422,P,Number ,0,Actual ,55 - 59
Auckland Region,2020.06,58654,P,Number ,0,Actual ,55 - 59
